,X,Y,Z,Cluster,ClusterZ
126184,-7.705416637312899,33.5287500586752,3257.686767578125,3,0
126185,-7.697083304012899,33.5287500586752,4950.75341796875,0,3
126186,-7.688749970712899,33.5287500586752,6268.79150390625,0,3
126187,-7.6804166374128995,33.5287500586752,8808.60546875,0,3
126188,-7.672083304112901,33.5287500586752,11499.1416015625,0,3
126189,-7.6637499708128995,33.5287500586752,10335.9931640625,0,3
126190,-7.655416637512899,33.5287500586752,8290.6220703125,0,3
126191,-7.6470833042129,33.5287500586752,13104.7421875,2,2
126192,-7.638749970912899,33.5287500586752,12475.5341796875,0,2
126193,-7.630416637612899,33.5287500586752,8694.7333984375,0,3
126194,-7.622083304312899,33.5287500586752,10928.259765625,0,3
126195,-7.613749971012899,33.5287500586752,15148.052734375,2,2
126196,-7.605416637712899,33.5287500586752,8410.919921875,0,3
126197,-7.597083304412899,33.5287500586752,8576.7314453125,0,3
126198,-7.588749971112899,33.5287500586752,8871.3125,0,3
126199,-7.580416637812899,33.5287500586752,13463.0244140625,2,2
126200,-7.5720833045128995,33.5287500586752,16655.869140625,2,2
126201,-7.563749971212901,33.5287500586752,9089.146484375,0,3
126202,-7.5554166379128995,33.5287500586752,5449.08447265625,0,3
126203,-7.5470833046129,33.5287500586752,4922.03173828125,0,3
126204,-7.5387499713129,33.5287500586752,7425.52099609375,0,3
126205,-7.530416638012899,33.5287500586752,14312.8828125,2,2
126206,-7.522083304712899,33.5287500586752,15620.26171875,2,2
126207,-7.513749971412899,33.5287500586752,6756.79638671875,0,3
126208,-7.505416638112899,33.5287500586752,4484.58203125,3,0
126209,-7.497083304812899,33.5287500586752,3137.538330078125,3,0
126210,-7.488749971512899,33.5287500586752,3488.579345703125,3,0
126211,-7.480416638212899,33.5287500586752,1224.4461669921875,3,0
126212,-7.472083304912899,33.5287500586752,220.28976440429688,3,0
126213,-7.463749971612899,33.5287500586752,96.03232574462889,3,0
126214,-7.455416638312901,33.5287500586752,78.58419799804686,3,0
126215,-7.4470833050128995,33.5287500586752,125.10807037353516,3,0
126216,-7.438749971712901,33.5287500586752,253.73849487304688,3,0
126217,-7.4304166384129,33.5287500586752,277.54348754882807,3,0
126218,-7.422083305112899,33.5287500586752,288.806396484375,3,0
126219,-7.4137499718129,33.5287500586752,162.62417602539062,3,0
126932,-7.738749970512899,33.5204167253752,1899.3533935546875,3,0
126933,-7.730416637212899,33.5204167253752,1947.408935546875,3,0
126934,-7.722083303912899,33.5204167253752,3197.05908203125,3,0
126935,-7.713749970612899,33.5204167253752,3871.832763671875,3,0
126936,-7.705416637312899,33.5204167253752,3806.32958984375,3,0
126937,-7.697083304012899,33.5204167253752,3726.31640625,3,0
