,id,y,x,name,type,category,surface,parking,KMcluster10,complete_name,Population_inf_1_Km,nombre_de_voisins,index_voisins
96,9620605651,33.5794161,-7.6229794,Ensure Services,node,Super Market,100,,1.0,"Super Market Ensure Services at -7.6229794 , 33.5794161",29812.8544921875,15,"[16, 17, 28, 82, 92, 93, 94, 95, 97, 98, 153, 176, 177, 203, 221]"
97,9620684478,33.5789653,-7.6221811,BIM,node,Super Market,250,,1.0,"Super Market BIM at -7.6221811 , 33.5789653",38618.1962890625,14,"[16, 17, 28, 82, 92, 93, 94, 95, 96, 98, 153, 176, 177, 203]"
98,9620697123,33.5787764,-7.6219061,KADI MED,node,Super Market,100,,1.0,"Super Market KADI MED at -7.6219061 , 33.5787764",38618.1962890625,14,"[16, 17, 28, 82, 92, 93, 94, 95, 96, 97, 153, 176, 177, 203]"
99,10148183633,33.5739454,-7.5588138,BIM,node,Super Market,250,,0.0,"Super Market BİM at -7.5588138 , 33.5739454",109111.3984375,2,"[166, 167]"
100,10218098519,33.593301,-7.6273077,my SuperMarket,node,Super Market,100,,1.0,"Super Market my SuperMarket at -7.6273077 , 33.593301",20659.49951171875,13,"[11, 25, 26, 27, 30, 40, 106, 115, 116, 132, 218, 221, 222]"
101,10276316930,33.5624485,-7.5748432,souq  baladia,node,Super Market,100,,9.0,"Super Market souq  baladia at -7.5748432 , 33.5624485",101607.384765625,2,"[156, 170]"
102,10540018109,33.5886301,-7.6418577,my SuperMarket,node,Super Market,1500,,1.0,"Super Market my SuperMarket at -7.6418577 , 33.5886301",17093.232666015632,6,"[4, 6, 10, 12, 21, 61]"
103,10541977576,33.607527,-7.5368732,Carrefour,node,Super Market,1500,,0.0,"Super Market Carrefour at -7.5368732 , 33.607527",41290.2177734375,0,[]
104,10789792414,33.5992312,-7.6373297,CARRE PRIMEUR,node,Super Market,1500,,1.0,"Super Market CARRE PRIMEUR at -7.6373297 , 33.5992312",19000.5947265625,13,"[11, 12, 13, 15, 26, 27, 65, 66, 67, 115, 116, 132, 142]"
105,10920437129,33.6021269,-7.5265618,Carrefour Market,node,Super Market,1500,,0.0,"Super Market Carrefour Market at -7.5265618 , 33.6021269",62271.6171875,3,"[14, 46, 79]"
106,11059511506,33.5897112,-7.6295197,my SuperMarket,node,Super Market,100,,1.0,"Super Market my SuperMarket at -7.6295197 , 33.5897112",26288.56103515625,16,"[4, 11, 12, 25, 26, 27, 30, 40, 61, 82, 100, 115, 116, 203, 221, 222]"
107,11220917816,33.5630833,-7.6476427,BIM,node,Super Market,250,,1.0,"Super Market BİM at -7.6476427 , 33.5630833",34324.52001953125,4,"[20, 80, 88, 217]"
108,11220946094,33.5710869,-7.6094122,Bim,node,Super Market,250,,4.0,"Super Market Bim at -7.6094122 , 33.5710869",25140.37744140625,7,"[16, 28, 154, 175, 176, 177, 178]"
109,11222390833,33.5894279,-7.6137309,Bim,node,Super Market,250,,4.0,"Super Market Bim at -7.6137309 , 33.5894279",26931.63134765625,11,"[33, 35, 41, 57, 58, 59, 60, 69, 113, 173, 218]"
110,11359850533,33.5987457,-7.5751282,Carrefour,node,Super Market,1500,,4.0,"Super Market Carrefour at -7.5751282 , 33.5987457",61613.693359375,3,"[7, 141, 223]"
111,1464276480,33.593057,-7.598525,Shell,node,Fuel Station,1500,,4.0,"Fuel Station Shell شل at -7.598525 , 33.593057",74556.6826171875,22,"[1, 34, 48, 55, 60, 63, 64, 69, 86, 89, 112, 113, 114, 123, 124, 125, 127, 128, 129, 172, 190, 224]"
112,1464579523,33.5892298,-7.5965419,Shell ,node,Fuel Station,1500,,4.0,"Fuel Station Shell شل at -7.5965419 , 33.5892298",74307.9140625,25,"[1, 23, 29, 34, 48, 55, 63, 64, 86, 89, 111, 113, 114, 120, 121, 122, 123, 124, 125, 127, 128, 129, 172, 190, 224]"
113,1464579563,33.5880813,-7.6037302,Oilibya,node,Fuel Station,500,,4.0,"Fuel Station Oilibya at -7.6037302 , 33.5880813",45727.166015625,27,"[23, 35, 41, 55, 57, 58, 59, 60, 63, 64, 69, 86, 89, 109, 111, 112, 114, 120, 121, 122, 123, 124, 125, 127, 172, 179, 190]"
114,1464579595,33.5888428,-7.5973879,Oilibya,node,Fuel Station,500,,4.0,"Fuel Station Oilibya at -7.5973879 , 33.5888428",55963.23046875,26,"[1, 23, 29, 34, 48, 55, 63, 64, 86, 89, 111, 112, 113, 120, 121, 122, 123, 124, 125, 127, 128, 129, 172, 179, 190, 224]"
115,1746921480,33.5974373,-7.6290061,my Fuel Station,node,Fuel Station,100,,1.0,"Fuel Station my Fuel Station at -7.6290061 , 33.5974373",21638.03564453125,17,"[11, 13, 15, 25, 26, 27, 30, 65, 66, 67, 100, 104, 106, 116, 132, 142, 222]"
116,1746923047,33.5963033,-7.6309065,Somap,node,Fuel Station,500,,1.0,"Fuel Station Somap at -7.6309065 , 33.5963033",18130.24267578125,19,"[11, 12, 13, 15, 25, 26, 27, 30, 40, 65, 66, 67, 100, 104, 106, 115, 132, 142, 222]"
117,2135428243,33.4391387,-7.5209454,my Fuel Station,node,Fuel Station,100,,2.0,"Fuel Station my Fuel Station at -7.5209454 , 33.4391387",14209.09469604492,1,[183]
118,2135428343,33.4575282,-7.5218118,my Fuel Station,node,Fuel Station,100,,2.0,"Fuel Station my Fuel Station at -7.5218118 , 33.4575282",24030.61901855469,3,"[182, 184, 199]"
119,2146499640,33.5212361,-7.5574575,Afriquia,node,Fuel Station,1500,,9.0,"Fuel Station Afriquia at -7.5574575 , 33.5212361",23165.7236328125,0,[]
120,2428391666,33.5825408,-7.6021553,Station Total Al Madina,node,Fuel Station,1500,,4.0,"Fuel Station Station Total Al Madina at -7.6021553 , 33.5825408",32533.6708984375,15,"[23, 29, 41, 55, 64, 112, 113, 114, 121, 122, 123, 124, 125, 172, 179]"
121,2428391681,33.5827681,-7.6039363,my Fuel Station,node,Fuel Station,100,,4.0,"Fuel Station my Fuel Station at -7.6039363 , 33.5827681",32533.6708984375,15,"[23, 41, 55, 57, 58, 64, 112, 113, 114, 120, 122, 123, 124, 125, 179]"
122,2428391692,33.5835667,-7.5981966,Total ,node,Fuel Station,1500,,4.0,"Fuel Station Total طوطال at -7.5981966 , 33.5835667",47640.701171875,18,"[23, 29, 34, 41, 48, 55, 64, 89, 112, 113, 114, 120, 121, 123, 124, 125, 172, 179]"
123,2428391732,33.5869146,-7.5949272,my Fuel Station,node,Fuel Station,100,,4.0,"Fuel Station my Fuel Station at -7.5949272 , 33.5869146",65161.791015625,23,"[1, 23, 29, 34, 48, 55, 63, 64, 86, 89, 111, 112, 113, 114, 120, 121, 122, 124, 125, 128, 172, 174, 224]"
